Packet_Nbre,Cycle,HPM0,HPM2,HPM3,HPM4,HPM5,HPM6,HPM7,HPM8,HPM9,HPM10,HPM11
legitime,41250.0,41250.0,13472.0,444.0,56.0,12874.0,2209.0,1875.0,1334.0,2045.0,1081.0,9175.0
legitime,50235.0,50235.0,16532.0,519.0,86.0,15739.0,2719.0,2355.0,1544.0,2570.0,1291.0,11020.0
legitime,44546.0,44546.0,14642.0,467.0,64.0,13947.0,2369.0,2024.0,1405.0,2245.0,1167.0,9820.0
legitime,51135.0,51135.0,16886.0,522.0,86.0,16048.0,2743.0,2376.0,1559.0,2630.0,1321.0,11173.0
legitime,40952.0,40952.0,13418.0,437.0,52.0,12801.0,2165.0,1832.0,1321.0,2035.0,1083.0,9082.0
legitime,42749.0,42749.0,14030.0,452.0,58.0,13374.0,2267.0,1928.0,1363.0,2140.0,1125.0,9451.0
legitime,51734.0,51734.0,17090.0,527.0,88.0,16239.0,2777.0,2408.0,1573.0,2665.0,1335.0,11296.0
legitime,41551.0,41551.0,13622.0,442.0,54.0,12992.0,2199.0,1864.0,1335.0,2070.0,1097.0,9205.0
legitime,41551.0,41551.0,13622.0,442.0,54.0,12992.0,2199.0,1864.0,1335.0,2070.0,1097.0,9205.0
legitime,43947.0,43947.0,14438.0,462.0,62.0,13756.0,2335.0,1992.0,1391.0,2210.0,1153.0,9697.0
legitime,44546.0,44546.0,14642.0,467.0,64.0,13947.0,2369.0,2024.0,1405.0,2245.0,1167.0,9820.0
legitime,45145.0,45145.0,14846.0,472.0,66.0,14138.0,2403.0,2056.0,1419.0,2280.0,1181.0,9943.0
legitime,45744.0,45744.0,15050.0,477.0,68.0,14329.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,42749.0,42749.0,14030.0,452.0,58.0,13374.0,2267.0,1928.0,1363.0,2140.0,1125.0,9451.0
legitime,47541.0,47541.0,15662.0,492.0,74.0,14902.0,2539.0,2184.0,1475.0,2420.0,1237.0,10435.0
legitime,40952.0,40952.0,13418.0,437.0,52.0,12801.0,2165.0,1832.0,1321.0,2035.0,1083.0,9082.0
legitime,41551.0,41551.0,13622.0,442.0,54.0,12992.0,2199.0,1864.0,1335.0,2070.0,1097.0,9205.0
legitime,48739.0,48739.0,16070.0,502.0,78.0,15284.0,2607.0,2248.0,1503.0,2490.0,1265.0,10681.0
legitime,50536.0,50536.0,16682.0,517.0,84.0,15857.0,2709.0,2344.0,1545.0,2595.0,1307.0,11050.0
legitime,45778.0,45778.0,15050.0,477.0,68.0,14329.0,2437.0,2088.0,1433.0,2315.0,1195.0,10066.0
legitime,51751.0,51751.0,17090.0,527.0,88.0,16239.0,2777.0,2408.0,1573.0,2665.0,1335.0,11296.0
legitime,47593.0,47593.0,15662.0,492.0,74.0,14902.0,2539.0,2184.0,1475.0,2420.0,1237.0,10435.0
legitime,48174.0,48174.0,15866.0,497.0,76.0,15093.0,2573.0,2216.0,1489.0,2455.0,1251.0,10558.0
legitime,42167.0,42167.0,13826.0,447.0,56.0,13183.0,2233.0,1896.0,1349.0,2105.0,1111.0,9328.0
legitime,46993.0,46993.0,15458.0,487.0,72.0,14711.0,2505.0,2152.0,1461.0,2385.0,1223.0,10312.0
