Packet_Nbre,Cycle,Cycles,Minstret,JMP_STALL,IMISS,LD,ST,JUMP,BRANCH,BRANCH_TAKEN,COMP_INSTR,PIP_STALL
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,37322,37322,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,43612,43612,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,42983,42983,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,43612,43612,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,37322,37322,12073,218,36,11017,1920,1635,1227,1797,1007,8292
1,37979,37979,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,41759,41759,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,37968,37968,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,41742,41742,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,40501,40501,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,38751,38751,12497,226,40,11489,1990,1703,1255,1869,1037,8548
1,39913,39913,12709,237,42,11941,2025,1737,1269,1905,1052,8676
1,37937,37937,12073,227,36,11312,1920,1635,1227,1797,1007,8292
1,39273,39273,12497,227,40,11760,1990,1703,1255,1869,1037,8548
1,41385,41385,13345,242,48,12334,2130,1839,1311,2013,1097,9060
1,37356,37356,12073,218,36,11034,1920,1635,1227,1797,1007,8292
1,38614,38614,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,38597,38597,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,42371,42371,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,41759,41759,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,40110,40110,12921,234,44,11928,2060,1771,1283,1941,1067,8804
1,41273,41273,13133,238,46,12161,2095,1805,1297,1977,1082,8932
1,40619,40619,12921,234,44,12106,2060,1771,1283,1941,1067,8804
1,41094,41094,13133,238,46,12294,2095,1805,1297,1977,1082,8932
1,38614,38614,12497,226,40,11426,1990,1703,1255,1869,1037,8548
1,44289,44289,14193,258,56,13303,2270,1975,1367,2157,1157,9572
1,39941,39941,12709,230,42,11731,2025,1737,1269,1905,1052,8676
1,42600,42600,13557,246,50,12646,2165,1873,1325,2049,1112,9188
1,38171,38171,12285,222,38,11265,1955,1669,1241,1833,1022,8420
1,43663,43663,14193,258,56,12994,2270,1975,1367,2157,1157,9572
1,39226,39226,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,43711,43711,14193,258,56,13009,2270,1975,1367,2157,1157,9572
1,41257,41257,13345,242,48,12275,2130,1839,1311,2013,1097,9060
1,41904,41904,13557,246,50,12472,2165,1873,1325,2049,1112,9188
1,37467,37467,12073,218,36,11099,1920,1635,1227,1797,1007,8292
1,42531,42531,13769,250,52,12680,2200,1907,1339,2085,1127,9316
1,38118,38118,12285,222,38,11298,1955,1669,1241,1833,1022,8420
1,43826,43826,14193,258,56,13075,2270,1975,1367,2157,1157,9572
1,41903,41903,13557,246,50,12482,2165,1873,1325,2049,1112,9188
1,38112,38112,12285,222,38,11292,1955,1669,1241,1833,1022,8420
1,37438,37438,12073,218,36,11082,1920,1635,1227,1797,1007,8292
1,39277,39277,12709,230,42,11639,2025,1737,1269,1905,1052,8676
1,39373,39373,12709,230,42,11670,2025,1737,1269,1905,1052,8676
1,41900,41900,13557,246,50,12482,2165,1873,1325,2049,1112,9188
1,39373,39373,12709,230,42,11684,2025,1737,1269,1905,1052,8676
1,38067,38067,12285,222,38,11278,1955,1669,1241,1833,1022,8420
1,38019,38019,12285,222,38,11247,1955,1669,1241,1833,1022,8420
1,43820,43820,14193,258,56,13056,2270,1975,1367,2157,1157,9572
1,39384,39384,12709,230,42,11698,2025,1737,1269,1905,1052,8676
1,39373,39373,12709,230,42,11684,2025,1737,1269,1905,1052,8676
1,39392,39392,12709,230,42,11695,2025,1737,1269,1905,1052,8676
1,39387,39387,12709,230,42,11698,2025,1737,1269,1905,1052,8676
1,39325,39325,12709,230,42,11670,2025,1737,1269,1905,1052,8676
1,37339,37339,12073,218,36,11034,1920,1635,1227,1797,1007,8292
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,42081,42081,13557,246,50,12558,2165,1873,1325,2049,1112,9188
1,39909,39909,12709,230,42,11958,2025,1737,1269,1905,1052,8676
1,41954,41954,13345,242,48,12281,2130,1839,1311,2013,1097,9060
1,43953,43953,13981,254,54,13016,2235,1941,1353,2121,1142,9444
1,38591,38591,12285,222,38,11299,1955,1669,1241,1833,1022,8420
1,43932,43932,13981,254,54,13203,2235,1941,1353,2121,1142,9444
1,42621,42621,13557,246,50,12833,2165,1873,1325,2049,1112,9188
1,40608,40608,12921,234,44,12187,2060,1771,1283,1941,1067,8804
1,42961,42961,13769,250,52,12907,2200,1907,1339,2085,1127,9316
1,43651,43651,13981,254,54,13111,2235,1941,1353,2121,1142,9444
1,39935,39935,12709,230,42,11892,2025,1737,1269,1905,1052,8676
1,40918,40918,13133,238,46,12014,2095,1805,1297,1977,1082,8932
1,40484,40484,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,42354,42354,13769,250,52,12585,2200,1907,1339,2085,1127,9316
1,40467,40467,13133,238,46,11997,2095,1805,1297,1977,1082,8932
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,42105,42105,13557,246,50,12572,2165,1873,1325,2049,1112,9188
1,43916,43916,13981,254,54,13236,2235,1941,1353,2121,1142,9444
1,39277,39277,12497,226,40,11765,1990,1703,1255,1869,1037,8548
1,41893,41893,13345,242,48,12590,2130,1839,1311,2013,1097,9060
1,41821,41821,13345,242,48,12559,2130,1839,1311,2013,1097,9060
1,38611,38611,12497,226,40,11440,1990,1703,1255,1869,1037,8548
1,38110,38110,12285,222,38,11285,1955,1669,1241,1833,1022,8420
1,37933,37933,12073,218,36,11307,1920,1635,1227,1797,1007,8292
1,39942,39942,12709,230,42,11835,2025,1737,1269,1905,1052,8676
1,44564,44564,14193,258,56,13304,2270,1975,1367,2157,1157,9572
1,37356,37356,12073,218,36,11034,1920,1635,1227,1797,1007,8292
1,42663,42663,13769,250,52,12731,2200,1907,1339,2085,1127,9316
1,42485,42485,13557,246,50,12751,2165,1873,1325,2049,1112,9188
1,41946,41946,13345,242,48,12617,2130,1839,1311,2013,1097,9060
1,39272,39272,12497,226,40,11751,1990,1703,1255,1869,1037,8548
1,42076,42076,13557,246,50,12567,2165,1873,1325,2049,1112,9188
1,40631,40631,13133,238,46,12079,2095,1805,1297,1977,1082,8932
1,40631,40631,13133,238,46,12079,2095,1805,1297,1977,1082,8932
1,41905,41905,13557,246,50,12471,2165,1873,1325,2049,1112,9188
1,41181,41181,13345,242,48,12244,2130,1839,1311,2013,1097,9060
1,43786,43786,14193,258,56,13042,2270,1975,1367,2157,1157,9572
1,38126,38126,12285,222,38,11258,1955,1669,1241,1833,1022,8420
1,41270,41270,13345,242,48,12265,2130,1839,1311,2013,1097,9060
1,41260,41260,13345,242,48,12275,2130,1839,1311,2013,1097,9060
1,38741,38741,12497,226,40,11488,1990,1703,1255,1869,1037,8548
1,38084,38084,12285,222,38,11278,1955,1669,1241,1833,1022,8420
1,38115,38115,12285,222,38,11292,1955,1669,1241,1833,1022,8420
1,38741,38741,12497,226,40,11488,1990,1703,1255,1869,1037,8548
1,38119,38119,12285,222,38,11292,1955,1669,1241,1833,1022,8420
1,39999,39999,12921,234,44,11880,2060,1771,1283,1941,1067,8804
1,43776,43776,14193,258,56,13056,2270,1975,1367,2157,1157,9572
1,39240,39240,12709,230,42,11636,2025,1737,1269,1905,1052,8676
1,43612,43612,14193,258,56,12977,2270,1975,1367,2157,1157,9572
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,39209,39209,12709,230,42,11605,2025,1737,1269,1905,1052,8676
1,37951,37951,12285,222,38,11213,1955,1669,1241,1833,1022,8420
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,41096,41096,13345,242,48,12193,2130,1839,1311,2013,1097,9060
1,37373,37373,12073,218,36,11034,1920,1635,1227,1797,1007,8292
1,42504,42504,13769,250,52,12650,2200,1907,1339,2085,1127,9316
1,43776,43776,14193,258,56,13056,2270,1975,1367,2157,1157,9572
1,41257,41257,13345,242,48,12272,2130,1839,1311,2013,1097,9060
1,41178,41178,13345,242,48,12241,2130,1839,1311,2013,1097,9060
1,38682,38682,12497,226,40,11460,1990,1703,1255,1869,1037,8548
1,43680,43680,14193,258,56,13011,2270,1975,1367,2157,1157,9572
1,43134,43134,13981,254,54,12846,2235,1941,1353,2121,1142,9444
1,41862,41862,13345,242,48,12570,2130,1839,1311,2013,1097,9060
1,43947,43947,13981,254,54,13265,2235,1941,1353,2121,1142,9444
1,38596,38596,12285,222,38,11370,1955,1669,1241,1833,1022,8420
1,38866,38866,12497,226,40,11443,1990,1703,1255,1869,1037,8548
1,43728,43728,14193,258,56,13008,2270,1975,1367,2157,1157,9572
1,39308,39308,12709,230,42,11639,2025,1737,1269,1905,1052,8676
1,38051,38051,12285,222,38,11249,1955,1669,1241,1833,1022,8420
1,38049,38049,12285,222,38,11244,1955,1669,1241,1833,1022,8420
1,41238,41238,13345,242,48,12237,2130,1839,1311,2013,1097,9060
1,38643,38643,12497,226,40,11439,1990,1703,1255,1869,1037,8548
1,43049,43049,13981,254,54,12811,2235,1941,1353,2121,1142,9444
1,41854,41854,13557,246,50,12434,2165,1873,1325,2049,1112,9188
1,41208,41208,13345,242,48,12238,2130,1839,1311,2013,1097,9060
1,39276,39276,12709,230,42,11622,2025,1737,1269,1905,1052,8676
1,41884,41884,13557,246,50,12406,2165,1873,1325,2049,1112,9188
1,39716,39716,12709,230,42,11643,2025,1737,1269,1905,1052,8676
1,43023,43023,13981,254,54,12804,2235,1941,1353,2121,1142,9444
1,43017,43017,13981,254,54,12781,2235,1941,1353,2121,1142,9444
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,41725,41725,13557,246,50,12389,2165,1873,1325,2049,1112,9188
1,38580,38580,12497,226,40,11409,1990,1703,1255,1869,1037,8548
1,37373,37373,12073,218,36,11034,1920,1635,1227,1797,1007,8292
1,40549,40549,13133,238,46,12028,2095,1805,1297,1977,1082,8932
1,39326,39326,12709,230,42,11660,2025,1737,1269,1905,1052,8676
1,41834,41834,13557,246,50,12446,2165,1873,1325,2049,1112,9188
1,40559,40559,13133,238,46,12040,2095,1805,1297,1977,1082,8932
1,38044,38044,12285,221,38,11258,1955,1669,1241,1833,1022,8420
1,41838,41838,13557,245,50,12434,2165,1873,1325,2049,1112,9188
1,40563,40563,13133,237,46,12028,2095,1805,1297,1977,1082,8932
